season,week,celebrity_name,judge_total,fan_votes,adjusted_judge_score,adjusted_fan_votes,judge_weight,fan_weight,combined_rank,combined_percent,voting_method,is_eliminated_new_system,age,pro_dancer,industry,region
1,3,Joey McIntyre,22.0,3000.0000010639224,22.04475887132088,3005.982215795563,0.5261683950399321,0.47383160496006793,3.0,20.444175831275757,rank,False,32.0,Ashly DelGrosso,Singer/Rapper,United States
1,4,John O'Hurley,21.0,2500.0,20.877719322433165,2485.7639615842904,0.529374145319042,0.47062585468095797,3.0,22.843896705926884,rank,False,50.0,Charlotte Jorgensen,Actor/Actress,United States
1,4,Kelly Monaco,26.0,3800.0,26.052215835302967,3807.37001057297,0.529374145319042,0.47062585468095797,1.0,31.579722069433274,rank,False,29.0,Alec Mazo,Actor/Actress,United States
1,4,Rachel Hunter,25.0,1000.0,25.02986709109844,1001.1826508119141,0.529374145319042,0.47062585468095797,2.941251709361916,18.764552629576045,rank,False,35.0,Jonathan Roberts,Model,New Zealand
1,4,Joey McIntyre,20.0,3500.0,20.04068988301898,3506.9792505177725,0.529374145319042,0.47062585468095797,3.058748290638084,26.811828595063805,rank,True,32.0,Ashly DelGrosso,Singer/Rapper,United States
1,5,John O'Hurley,27.0,3000.0,26.8427819859855,2982.9167539011482,0.5329614049214885,0.46703859507851153,1.0,42.877168552765355,rank,False,50.0,Charlotte Jorgensen,Actor/Actress,United States
1,5,Kelly Monaco,23.5,2000.0,23.547195081908452,2003.878952933142,0.5329614049214885,0.46703859507851153,2.0,32.8339210207029,rank,False,29.0,Alec Mazo,Actor/Actress,United States
1,5,Joey McIntyre,22.5,1000.0,22.545776118396354,1001.9940715765065,0.5329614049214885,0.46703859507851153,3.0,24.288910426531746,rank,True,32.0,Ashly DelGrosso,Singer/Rapper,United States
1,6,John O'Hurley,27.0,1000.0,26.8427819859855,994.3055846337162,0.532363131044561,0.46763686895543893,2.0,41.77805745066249,rank,True,50.0,Charlotte Jorgensen,Actor/Actress,United States
1,6,Kelly Monaco,27.5,2000.0,27.555228287339677,2003.878952933142,0.532363131044561,0.46763686895543893,1.0,58.22194254933751,rank,False,29.0,Alec Mazo,Actor/Actress,United States
2,1,Tatum O'Neal,23.0,9100.0,23.163837920705184,9165.31746855346,0.5208696128304764,0.4791303871695236,2.0,13.020078465612817,rank,False,42.0,Nick Kosovich,Actor/Actress,United States
2,1,Tia Carrere,20.0,6300.000000000001,19.978723820238315,6293.459780799921,0.5208696128304764,0.4791303871695236,6.0,10.025653411463864,rank,False,39.0,Maksim Chmerkoskiy,Actor/Actress,United States
2,1,George Hamilton,18.0,4900.0,18.068304823832104,4919.967462208813,0.5208696128304764,0.4791303871695236,8.0,8.490394870546389,rank,False,66.0,Edyta Sliwinska,Actor/Actress,United States
2,1,Lisa Rinna,19.0,5600.000000000001,19.037486226328554,5611.351408569373,0.5208696128304764,0.4791303871695236,7.0,9.2652121943086,rank,False,42.0,Louis van Amstel,Actor/Actress,United States
2,1,Stacy Keibler,22.0,7700.0,21.99947582511011,7699.069211219229,0.5208696128304764,0.4791303871695236,4.0,11.614307364432829,rank,False,26.0,Tony Dovolani,Athlete,United States
2,1,Jerry Rice,21.0,7000.0,21.06078979174008,7020.708262972357,0.5208696128304764,0.4791303871695236,5.0,10.85734594580394,rank,False,43.0,Anna Trebunskaya,Athlete,United States
2,1,Giselle Fernandez,23.0,9100.0,23.05723081211076,9123.307636660054,0.5208696128304764,0.4791303871695236,3.0,12.960284404931624,rank,False,44.0,Jonathan Roberts,News Anchor,Mexico
2,1,Master P,12.0,3500.0,12.029594951735247,3508.5896925228635,0.5208696128304764,0.4791303871695236,9.520869612830477,5.8268245726211445,rank,True,35.0,Ashly DelGrosso,Singer/Rapper,United States
2,1,Drew Lachey,24.0,9800.0,23.937216960391527,9773.692220964433,0.5208696128304764,0.4791303871695236,1.0,13.680702131854245,rank,False,29.0,Cheryl Burke,Singer/Rapper,United States
2,1,Kenny Mayne,13.0,1000.0,13.14833032539657,1011.5026909941006,0.5208696128304764,0.4791303871695236,9.479130387169523,4.259196638424548,rank,False,46.0,Andrea Hale,Sports Broadcaster,United States
2,2,Tatum O'Neal,17.0,1900.0109138312096,17.121097593564702,1913.6487053823525,0.5364840394680948,0.4635159605319053,8.0,6.604020734650607,rank,False,42.0,Nick Kosovich,Actor/Actress,United States
2,2,Tia Carrere,22.0,5000.0874492738885,21.976596202262144,4994.896708331377,0.5364840394680948,0.4635159605319053,5.536484039468095,11.154730469611756,rank,False,39.0,Maksim Chmerkoskiy,Actor/Actress,United States
2,2,George Hamilton,22.0,2999.9261462577183,22.08348367357257,3012.1508221668273,0.5364840394680948,0.4635159605319053,5.463515960531906,9.091822109213577,rank,False,66.0,Edyta Sliwinska,Actor/Actress,United States
2,2,Lisa Rinna,20.0,1000.010913831213,20.039459185609005,1002.037973198486,0.5364840394680948,0.4635159605319053,7.927031921063811,6.423987751323519,rank,False,42.0,Louis van Amstel,Actor/Actress,United States
2,2,Stacy Keibler,29.0,8000.138098928408,28.9993090421906,7999.171028956056,0.5364840394680948,0.4635159605319053,1.4635159605319052,16.204666681831306,rank,False,26.0,Tony Dovolani,Athlete,United States
2,2,Jerry Rice,23.0,5999.838172286034,23.066579295715325,6017.587633237932,0.5364840394680948,0.4635159605319053,4.0,12.525453676904817,rank,False,43.0,Anna Trebunskaya,Athlete,United States
2,2,Giselle Fernandez,24.0,7000.100182498475,24.059719108289492,7018.029390370744,0.5364840394680948,0.4635159605319053,3.0,13.846770373810829,rank,False,44.0,Jonathan Roberts,News Anchor,Mexico
2,2,Master P,16.0,3000.011671115031,16.039459935646995,3007.3742933492827,0.5364840394680948,0.4635159605319053,8.072968078936189,7.4680724292638185,rank,True,35.0,Ashly DelGrosso,Singer/Rapper,United States
2,2,Drew Lachey,27.0,8999.927861007538,26.92936908044047,8975.767849425554,0.5364840394680948,0.4635159605319053,1.5364840394680948,16.68047577338978,rank,False,29.0,Cheryl Burke,Singer/Rapper,United States
2,3,Tia Carrere,26.0,6400.0,25.972340966309808,6393.355967796745,0.5219409978957316,0.47805900210426844,3.0,14.748214421025175,rank,False,39.0,Maksim Chmerkoskiy,Actor/Actress,United States
2,3,George Hamilton,22.0,5000.0,22.08348367357257,5020.374961437566,0.5219409978957316,0.47805900210426844,5.0,12.064840403318318,rank,False,66.0,Edyta Sliwinska,Actor/Actress,United States
2,3,Lisa Rinna,25.0,5700.0,25.049323982011252,5711.554112293826,0.5219409978957316,0.47805900210426844,4.0,13.704520972617622,rank,False,42.0,Louis van Amstel,Actor/Actress,United States
2,3,Stacy Keibler,27.0,7800.0,26.999356694453315,7799.057123053244,0.5219409978957316,0.47805900210426844,1.0,16.649066561439465,rank,False,26.0,Tony Dovolani,Athlete,United States
2,3,Jerry Rice,19.0,3600.0000000000005,19.055000287764834,3610.649963814356,0.5219409978957316,0.47805900210426844,7.0,9.585968152668876,rank,False,43.0,Anna Trebunskaya,Athlete,United States
2,3,Giselle Fernandez,22.0,1000.0,22.054742515932034,1002.5612787538521,0.5219409978957316,0.47805900210426844,6.956118004208537,7.464544074748224,rank,False,44.0,Jonathan Roberts,News Anchor,Mexico
2,3,Master P,14.0,4500.0,14.034527443691124,4511.043890386539,0.5219409978957316,0.47805900210426844,7.043881995791463,9.176684230302916,rank,True,35.0,Ashly DelGrosso,Singer/Rapper,United States
2,3,Drew Lachey,27.0,7800.0,26.92936908044047,7779.061155461486,0.5219409978957316,0.47805900210426844,2.0,16.606161183879404,rank,False,29.0,Cheryl Burke,Singer/Rapper,United States
2,4,Tia Carrere,25.0,4000.0000073239976,24.973404775297894,3995.8474871893595,0.5221224468183798,0.4778775531816202,4.0,15.064680962137873,rank,False,39.0,Maksim Chmerkoskiy,Actor/Actress,United States
2,4,George Hamilton,21.0,2000.0000077066973,21.079688961137457,2008.149992313128,0.5221224468183798,0.4778775531816202,6.0,10.38725448167158,rank,False,66.0,Edyta Sliwinska,Actor/Actress,United States
2,4,Lisa Rinna,26.0,5000.000007083347,26.051296941291703,5010.13519332036,0.5221224468183798,0.4778775531816202,2.47787755318162,17.151331491319976,rank,False,42.0,Louis van Amstel,Actor/Actress,United States
2,4,Stacy Keibler,26.0,6000.000007417524,25.999380520584676,5999.274717457584,0.5221224468183798,0.4778775531816202,2.52212244681838,18.821999860925207,rank,False,26.0,Tony Dovolani,Athlete,United States
2,4,Jerry Rice,24.0,3000.0000083390964,24.06947404770295,3008.874978209062,0.5221224468183798,0.4778775531816202,5.0,13.082082823441773,rank,False,43.0,Anna Trebunskaya,Athlete,United States
2,4,Master P,8.0,1000.0,8.019729967823498,1002.4541978636753,0.5221224468183798,0.4778775531816202,7.0,4.358702093177834,rank,True,35.0,Ashly DelGrosso,Singer/Rapper,United States
2,4,Drew Lachey,28.0,7000.0,27.926753120456784,6981.208729260309,0.5221224468183798,0.4778775531816202,1.0,21.13394828732575,rank,False,29.0,Cheryl Burke,Singer/Rapper,United States
2,5,Tia Carrere,22.0,1000.0,21.976596202262144,998.9618699682414,0.5381532215649999,0.46184677843500005,6.0,10.022315534953151,rank,True,39.0,Maksim Chmerkoskiy,Actor/Actress,United States
2,5,George Hamilton,24.0,3000.00000323656,24.091073098442806,3012.224980112288,0.5381532215649999,0.46184677843500005,4.0,15.200718704127585,rank,False,66.0,Edyta Sliwinska,Actor/Actress,United States
2,5,Lisa Rinna,25.0,3999.999999919008,25.049323982011252,4008.108148896967,0.5381532215649999,0.46184677843500005,3.0,17.731041867758453,rank,False,42.0,Louis van Amstel,Actor/Actress,United States
2,5,Stacy Keibler,30.0,6000.0,29.99928521605924,5999.274710040958,0.5381532215649999,0.46184677843500005,1.0,23.870670214612442,rank,False,26.0,Tony Dovolani,Athlete,United States
2,5,Jerry Rice,23.0,2000.0000142520787,23.066579295715325,2005.9166608577716,0.5381532215649999,0.46184677843500005,5.0,12.623888919079425,rank,False,43.0,Anna Trebunskaya,Athlete,United States
2,5,Drew Lachey,27.0,4999.999999813955,26.92936908044047,4986.577663571817,0.5381532215649999,0.46184677843500005,2.0,20.551364759468925,rank,False,29.0,Cheryl Burke,Singer/Rapper,United States
2,6,George Hamilton,23.0,1000.0,23.087278386007686,1004.074992287513,0.535348759352286,0.46465124064771396,4.464651240647713,12.393960199699736,rank,False,66.0,Edyta Sliwinska,Actor/Actress,United States
2,6,Lisa Rinna,27.0,2999.999998191858,27.053269900572154,3006.0811099217854,0.535348759352286,0.46465124064771396,3.0,20.189476962930442,rank,False,42.0,Louis van Amstel,Actor/Actress,United States
2,6,Stacy Keibler,30.0,4000.000005403788,29.99928521605924,3999.5164787637727,0.535348759352286,0.46465124064771396,1.464651240647714,24.451056553428664,rank,False,26.0,Tony Dovolani,Athlete,United States
2,6,Jerry Rice,23.0,2000.0000024545864,23.066579295715325,2005.9166490253783,0.535348759352286,0.46465124064771396,4.535348759352286,15.488567996151346,rank,True,43.0,Anna Trebunskaya,Athlete,United States
2,6,Drew Lachey,30.0,5000.0,29.92152120048941,4986.577663757364,0.535348759352286,0.46465124064771396,1.5353487593522859,27.476938287789807,rank,False,29.0,Cheryl Burke,Singer/Rapper,United States
2,7,Lisa Rinna,26.5,1000.0,26.55228342093193,1002.0270372445308,0.5301648464863166,0.4698351535136834,3.4698351535136833,18.03758876214528,rank,False,42.0,Louis van Amstel,Actor/Actress,United States
2,7,Stacy Keibler,27.5,3800.0,27.499344781387634,3799.5406496926066,0.5301648464863166,0.4698351535136834,1.0,30.37214760436938,rank,False,26.0,Tony Dovolani,Athlete,United States
2,7,Jerry Rice,20.5,2500.0,20.55934241574627,2507.3958082044132,0.5301648464863166,0.4698351535136834,3.5301648464863167,21.2963913897986,rank,True,43.0,Anna Trebunskaya,Athlete,United States
2,7,Drew Lachey,27.5,3800.0,27.428061100448627,3789.799024455596,0.5301648464863166,0.4698351535136834,2.0,30.29387224368673,rank,False,29.0,Cheryl Burke,Singer/Rapper,United States
2,8,Stacy Keibler,28.6665,1000.0,28.665816988205407,999.8791183401595,0.5339941696545359,0.4660058303454641,2.4660058303454644,25.5473036964392,rank,False,26.0,Tony Dovolani,Athlete,United States
2,8,Jerry Rice,26.666600000000003,2500.0,26.74379319335315,2507.3958082044132,0.5339941696545359,0.4660058303454641,2.533994169654536,35.481696440824905,rank,True,43.0,Anna Trebunskaya,Athlete,United States
2,8,Drew Lachey,28.9998,2800.0,28.923937683665095,2792.483491704123,0.5339941696545359,0.4660058303454641,1.0,38.97099986273591,rank,False,29.0,Cheryl Burke,Singer/Rapper,United States
3,1,Harry Hamlin,17.0,524556.0776735394,17.08841146166399,527372.0683348117,0.521133826628419,0.478866173371581,8.0,5.802614901688454,percent,False,54.0,Ashly DelGrosso,Actor/Actress,United States
3,1,Vivica A. Fox,22.0,775340.06038595,22.15671453284844,780905.2526950156,0.521133826628419,0.478866173371581,3.0,7.988415230991837,percent,False,42.0,Nick Kosovich,Actor/Actress,United States
3,1,Monique Coleman,19.0,624869.6703837555,18.99107046561681,624509.4669641647,0.521133826628419,0.478866173371581,6.0,6.632552886076513,percent,False,25.0,Louis van Amstel,Actor/Actress,United States
3,1,Joey Lawrence,21.0,725183.2647658437,20.971226027145494,724146.7288257721,0.521133826628419,0.478866173371581,5.0,7.489323813984875,percent,False,30.0,Edyta Sliwinska,Actor/Actress,United States
3,1,Mario Lopez,55.6666,2463948.8614692963,55.5881317979863,2460376.3974267766,0.521133826628419,0.478866173371581,1.0,22.440421041299196,percent,False,32.0,Karina Smirnoff,Actor/Actress,United States
3,1,Emmitt Smith,53.6666,2363635.269346968,53.58773847908659,2360178.141013425,0.521133826628419,0.478866173371581,2.0,21.5770823273495,percent,False,37.0,Cheryl Burke,Athlete,United States
3,1,Shanna Moakler,18.0,574712.8745215569,18.16623792045305,579991.7235508357,0.521133826628419,0.478866173371581,7.0,6.261241659115632,percent,False,31.0,Jesse DeSoto,Model,United States
3,1,Willa Ford,22.0,775340.0599824403,21.93245112189508,772877.1172800091,0.521133826628419,0.478866173371581,4.0,7.90696526981054,percent,False,25.0,Maksim Chmerkoskiy,Singer/Rapper,United States
3,1,Sara Evans,15.0,424242.48429953103,15.019048253503742,424776.11763675447,0.521133826628419,0.478866173371581,10.0,4.914568204067036,percent,False,35.0,Tony Dovolani,Singer/Rapper,United States
3,1,Jerry Springer,16.0,474399.2808381727,16.02422556974207,475232.444762691,0.521133826628419,0.478866173371581,9.0,5.348902664545296,percent,False,62.0,Kym Johnson,TV Personality,England
3,1,Tucker Carlson,12.0,273772.0963329474,12.08392606367713,275688.7024684389,0.521133826628419,0.478866173371581,11.0,3.637912001071099,percent,True,37.0,Elena Grinenko,TV Personality,United States
3,2,Harry Hamlin,21.0,949612.4031007752,21.109214158526107,954710.236817277,0.5062799735748417,0.4937200264251584,6.506279973574841,9.347347439297025,percent,False,54.0,Ashly DelGrosso,Actor/Actress,United States
3,2,Vivica A. Fox,24.0,1085271.317829457,24.170961308561928,1093061.1172991602,0.5062799735748417,0.4937200264251584,3.0,10.702508196318107,percent,False,42.0,Nick Kosovich,Actor/Actress,United States
3,2,Monique Coleman,26.0,1175710.5943152453,25.98778063715985,1175032.8610268598,0.5062799735748417,0.4937200264251584,2.0,11.506036185554702,percent,False,25.0,Louis van Amstel,Actor/Actress,United States
3,2,Joey Lawrence,29.0,1311369.5090439275,28.960264513677117,1309495.1116427726,0.5062799735748417,0.4937200264251584,1.0,12.822402633047247,percent,False,30.0,Edyta Sliwinska,Actor/Actress,United States
3,2,Mario Lopez,21.0,949612.4031007752,20.97039818774116,948235.5660172387,0.5062799735748417,0.4937200264251584,8.506279973574841,9.284909935165192,percent,False,32.0,Karina Smirnoff,Actor/Actress,United States
3,2,Emmitt Smith,24.0,1085271.317829457,23.96473269217871,1083683.965385065,0.5062799735748417,0.4937200264251584,4.0,10.610941711098029,percent,False,37.0,Cheryl Burke,Athlete,United States
3,2,Shanna Moakler,22.0,594315.2454780362,22.203179680553724,599774.1460799918,0.5062799735748417,0.4937200264251584,7.974880105700634,7.837535683795073,percent,True,31.0,Jesse DeSoto,Model,United States
3,2,Willa Ford,23.0,1040051.6795865631,22.929380718344856,1036747.8548177939,0.5062799735748417,0.4937200264251584,5.0,10.151935940246922,percent,False,25.0,Maksim Chmerkoskiy,Singer/Rapper,United States
3,2,Sara Evans,21.0,949612.4031007752,21.026667554905238,950806.8729016301,0.5062799735748417,0.4937200264251584,7.506279973574842,9.309956703568831,percent,False,35.0,Tony Dovolani,Singer/Rapper,United States
3,2,Jerry Springer,19.0,859173.126614987,19.02876786406871,860682.0497582651,0.5062799735748417,0.4937200264251584,9.506279973574841,8.426425571908883,percent,False,62.0,Kym Johnson,TV Personality,England
3,3,Harry Hamlin,22.0,603356.1908507142,22.114414832741637,606595.2066035997,0.5163391918396794,0.48366080816032064,6.418304040801603,8.442443602944675,percent,True,54.0,Ashly DelGrosso,Actor/Actress,United States
3,3,Vivica A. Fox,27.0,1402047.248113198,27.19233147213217,1412110.7840515603,0.5163391918396794,0.48366080816032064,1.4836608081603206,13.600793155139062,percent,False,42.0,Nick Kosovich,Actor/Actress,United States
3,3,Monique Coleman,27.0,1654873.7078137728,26.987310661665997,1653919.7630204863,0.5163391918396794,0.48366080816032064,1.5163391918396794,14.718332229723725,percent,False,25.0,Louis van Amstel,Actor/Actress,United States
3,3,Joey Lawrence,22.0,1206076.5111382627,21.969855837961948,1204352.61359262,0.5163391918396794,0.48366080816032064,5.0,11.295299636639314,percent,False,30.0,Edyta Sliwinska,Actor/Actress,United States
3,3,Mario Lopez,22.0,1244524.6958854606,21.9689885776336,1242720.267313259,0.5163391918396794,0.48366080816032064,5.032678383679359,11.480509137342601,percent,False,32.0,Karina Smirnoff,Actor/Actress,United States
3,3,Emmitt Smith,19.0,959109.0448613894,18.972080047974814,957706.22138141,0.5163391918396794,0.48366080816032064,7.549017575519038,9.356253810437845,percent,False,37.0,Cheryl Burke,Athlete,United States
3,3,Willa Ford,22.0,849929.5457914661,21.93245112189508,847229.6623720087,0.5163391918396794,0.48366080816032064,7.0,9.560052134109178,percent,False,25.0,Maksim Chmerkoskiy,Singer/Rapper,United States
3,3,Sara Evans,25.0,1247634.0567157888,25.031747089172903,1249203.393003309,0.5163391918396794,0.48366080816032064,3.0,12.275072281394182,percent,False,35.0,Tony Dovolani,Singer/Rapper,United States
3,3,Jerry Springer,21.0,832448.9988299474,21.03179606028647,833910.9877132381,0.5163391918396794,0.48366080816032064,8.0,9.27124401226942,percent,False,62.0,Kym Johnson,TV Personality,England
3,4,Vivica A. Fox,24.0,751708.4282460139,24.170961308561928,757103.9987540721,0.5076993094638155,0.4923006905361846,5.9692027621447385,9.92544720829444,percent,True,42.0,Nick Kosovich,Actor/Actress,United States
3,4,Monique Coleman,24.0,1275626.4236902047,23.98872058814755,1274891.0943540067,0.5076993094638155,0.4923006905361846,4.507699309463816,12.428513341173732,percent,False,25.0,Louis van Amstel,Actor/Actress,United States
3,4,Joey Lawrence,27.0,1435079.726651481,26.963004892044214,1433028.5048627062,0.5076993094638155,0.4923006905361846,3.0,13.96981843251748,percent,False,30.0,Edyta Sliwinska,Actor/Actress,United States
3,4,Mario Lopez,29.0,1541381.928625665,28.959121306880654,1539147.088608522,0.5076993094638155,0.4923006905361846,1.0,15.004170707772815,percent,False,32.0,Karina Smirnoff,Actor/Actress,United States
3,4,Emmitt Smith,24.0,1275626.4236902047,23.96473269217871,1273760.6517965684,0.5076993094638155,0.4923006905361846,5.507699309463815,12.416796361587547,percent,False,37.0,Cheryl Burke,Athlete,United States
3,4,Willa Ford,28.0,1488230.8276385728,27.914028700593736,1483503.318451767,0.5076993094638155,0.4923006905361846,2.0,14.46220847153676,percent,False,25.0,Maksim Chmerkoskiy,Singer/Rapper,United States
3,4,Sara Evans,20.0,1063022.0197418376,20.02539767133832,1064359.1418098302,0.5076993094638155,0.4923006905361846,7.507699309463816,10.375618129389853,percent,False,35.0,Tony Dovolani,Singer/Rapper,United States
3,4,Jerry Springer,22.0,1169324.2217160212,22.03331015839535,1171377.8478426838,0.5076993094638155,0.4923006905361846,6.507699309463815,11.417427347727376,percent,False,62.0,Kym Johnson,TV Personality,England
3,5,Monique Coleman,27.0,1599758.1620314391,26.987310661665997,1598835.9883562021,0.5115671037695997,0.4884328962304003,1.0,15.44754231172253,percent,False,25.0,Louis van Amstel,Actor/Actress,United States
3,5,Joey Lawrence,25.0,1481257.5574365177,24.965745270411304,1479140.3316683783,0.5115671037695997,0.4884328962304003,4.5115671037695995,14.290739701919073,percent,False,30.0,Edyta Sliwinska,Actor/Actress,United States
3,5,Mario Lopez,27.0,1599758.1620314391,26.961940527095784,1597438.682678618,0.5115671037695997,0.4884328962304003,2.0,15.433537144084767,percent,False,32.0,Karina Smirnoff,Actor/Actress,United States
3,5,Emmitt Smith,27.0,1599758.1620314391,26.960324278701048,1597418.3047190614,0.5115671037695997,0.4884328962304003,3.0,15.432980387845358,percent,False,37.0,Cheryl Burke,Athlete,United States
3,5,Willa Ford,27.0,875453.4461910522,26.91709910414396,872672.4836329415,0.5115671037695997,0.4884328962304003,5.465298688691201,11.878663142812037,percent,True,25.0,Maksim Chmerkoskiy,Singer/Rapper,United States
3,5,Sara Evans,24.0,1422007.2551390566,24.030477205605987,1423795.9267247624,0.5115671037695997,0.4884328962304003,6.5115671037696,13.75570782586037,percent,False,35.0,Tony Dovolani,Singer/Rapper,United States
3,5,Jerry Springer,24.0,1422007.2551390566,24.036338354613108,1424504.6559430629,0.5115671037695997,0.4884328962304003,5.5115671037696,13.760829485755854,percent,False,62.0,Kym Johnson,TV Personality,England
3,7,Monique Coleman,27.0,1879636.7871161748,26.987310661665997,1878553.2786176875,0.5371989570984621,0.4628010429015379,4.0,19.45100380199279,percent,False,25.0,Louis van Amstel,Actor/Actress,United States
3,7,Joey Lawrence,28.5,2346068.537015832,28.46094960826889,2342715.1993498374,0.5371989570984621,0.4628010429015379,1.9256020858030758,22.188517042097043,percent,False,30.0,Edyta Sliwinska,Actor/Actress,United States
3,7,Mario Lopez,28.0,2731206.5303375307,27.96053091698822,2727246.571072586,0.5371989570984621,0.4628010429015379,2.074397914196924,23.77096381258915,percent,False,32.0,Karina Smirnoff,Actor/Actress,United States
3,7,Emmitt Smith,28.5,2723478.870680922,28.45812007196222,2719495.4236187884,0.5371989570984621,0.4628010429015379,2.0,23.93319644321999,percent,False,37.0,Cheryl Burke,Athlete,United States
3,7,Jerry Springer,23.0,319609.2748495412,23.03482425650423,320170.5887648482,0.5371989570984621,0.4628010429015379,5.0,10.656318900101022,percent,True,62.0,Kym Johnson,TV Personality,England
3,8,Monique Coleman,26.5,587470.7856534579,26.487545649412922,587132.1406592592,0.55,0.45,4.0,16.026944259635126,percent,True,25.0,Louis van Amstel,Actor/Actress,United States
3,8,Joey Lawrence,27.0,1485573.537459771,26.963004892044214,1483450.142673911,0.55,0.45,2.45,20.30622105662313,percent,False,30.0,Edyta Sliwinska,Actor/Actress,United States
3,8,Mario Lopez,28.5,5287237.070529151,28.459826111934436,5279571.138571667,0.55,0.45,1.0,38.16886938700035,percent,False,32.0,Karina Smirnoff,Actor/Actress,United States
3,8,Emmitt Smith,27.0,2639718.606357621,26.960324278701048,2635857.669729636,0.55,0.45,2.5500000000000003,25.4979652967414,percent,False,37.0,Cheryl Burke,Athlete,United States
3,9,Joey Lawrence,29.5,2247224.971992768,29.45957941908534,2244012.9157277225,0.5241564871727927,0.47584351282720727,1.9516870256544148,28.166185540482815,percent,True,30.0,Edyta Sliwinska,Actor/Actress,United States
3,9,Mario Lopez,29.5,4173417.8051472143,29.45841650182687,4167366.792775793,0.5241564871727927,0.47584351282720727,1.5241564871727928,37.330938839120584,percent,False,32.0,Karina Smirnoff,Actor/Actress,United States
3,9,Emmitt Smith,29.5,3579357.222860018,29.456650600803,3574121.940821584,0.5241564871727927,0.47584351282720727,2.5241564871727924,34.50287562039661,percent,False,37.0,Cheryl Burke,Athlete,United States
3,10,Mario Lopez,29.666600000000003,3636363.636363636,29.624781660782954,3631091.2954723197,0.5272691395103937,0.47273086048960633,1.4727308604896063,43.554599842873074,percent,True,32.0,Karina Smirnoff,Actor/Actress,United States
3,10,Emmitt Smith,29.666600000000003,6363636.363636363,29.62300578690788,6354328.706121518,0.5272691395103937,0.47273086048960633,1.5272691395103937,56.445400157126926,percent,False,37.0,Cheryl Burke,Athlete,United States
4,2,John Ratzenberger,21.0,887096.7741935481,21.05859894619457,889762.2381162012,0.5060461501686233,0.49395384983137663,7.506046150168623,8.736008080930466,percent,False,59.0,Edyta Sliwinska,Actor/Actress,United States
4,2,Ian Ziering,22.0,929339.4777265744,21.983435855833562,928689.883558204,0.5060461501686233,0.49395384983137663,5.0,9.118938105741325,percent,False,42.0,Cheryl Burke,Actor/Actress,United States
4,2,Clyde Drexler,18.0,760368.6635944701,18.144099343070607,766511.6084971728,0.5060461501686233,0.49395384983137663,10.506046150168622,7.526416055428335,percent,False,44.0,Elena Grinenko,Athlete,United States
4,2,Laila Ali,27.0,1140552.995391705,26.93257854790904,1137626.7855007981,0.5060461501686233,0.49395384983137663,1.0,11.171200875214279,percent,False,29.0,Maksim Chmerkoskiy,Athlete,United States
4,2,Apolo Anton Ohno,26.0,1098310.291858679,25.828218030848333,1090927.2107915026,0.5060461501686233,0.49395384983137663,2.0,10.712875212930005,percent,False,24.0,Julianne Hough,Athlete,United States
4,2,Shandi Finnessey,20.0,844854.0706605222,20.176010460482043,852222.6294637063,0.5060461501686233,0.49395384983137663,9.506046150168622,8.368645221809254,percent,False,28.0,Brian Fortuna,Beauty Pagent,United States
